,team,total_num_games,opponent,result_metric,num_games,pct_of_points
0,Ascoli,76.0,Atalanta,0.0,2.0,0.0
1,Ascoli,76.0,Cagliari,4.0,4.0,33.33333333333333
2,Ascoli,76.0,Catania,2.0,2.0,33.33333333333333
3,Ascoli,76.0,Chievo,5.0,4.0,41.66666666666667
4,Ascoli,76.0,Empoli,6.0,4.0,50.0
5,Ascoli,76.0,Fiorentina,1.0,4.0,8.333333333333332
6,Ascoli,76.0,Inter,0.0,4.0,0.0
7,Ascoli,76.0,Juventus,0.0,2.0,0.0
8,Ascoli,76.0,Lazio,1.0,4.0,8.333333333333332
9,Ascoli,76.0,Lecce,4.0,2.0,66.66666666666666
10,Ascoli,76.0,Livorno,2.0,4.0,16.666666666666664
11,Ascoli,76.0,Messina,8.0,4.0,66.66666666666666
12,Ascoli,76.0,Milan,1.0,4.0,8.333333333333332
13,Ascoli,76.0,Palermo,5.0,4.0,41.66666666666667
14,Ascoli,76.0,Parma,5.0,4.0,41.66666666666667
15,Ascoli,76.0,Reggina,1.0,4.0,8.333333333333332
16,Ascoli,76.0,Roma,5.0,4.0,41.66666666666667
17,Ascoli,76.0,Sampdoria,7.0,4.0,58.333333333333336
18,Ascoli,76.0,Siena,5.0,4.0,41.66666666666667
19,Ascoli,76.0,Torino,0.0,2.0,0.0
20,Ascoli,76.0,Treviso,4.0,2.0,66.66666666666666
21,Ascoli,76.0,Udinese,4.0,4.0,33.33333333333333
22,Atalanta,570.0,Ascoli,6.0,2.0,100.0
23,Atalanta,570.0,Bari,3.0,2.0,50.0
24,Atalanta,570.0,Benevento,12.0,4.0,100.0
25,Atalanta,570.0,Bologna,47.0,24.0,65.27777777777779
26,Atalanta,570.0,Brescia,6.0,2.0,100.0
27,Atalanta,570.0,Cagliari,43.0,28.0,51.19047619047619
28,Atalanta,570.0,Carpi,4.0,2.0,66.66666666666666
29,Atalanta,570.0,Catania,16.0,14.0,38.095238095238095
30,Atalanta,570.0,Cesena,10.0,4.0,83.33333333333334
31,Atalanta,570.0,Chievo,36.0,22.0,54.54545454545454
32,Atalanta,570.0,Crotone,16.0,6.0,88.88888888888889
33,Atalanta,570.0,Empoli,23.0,14.0,54.761904761904766
34,Atalanta,570.0,Fiorentina,27.0,30.0,30.0
35,Atalanta,570.0,Frosinone,10.0,4.0,83.33333333333334
36,Atalanta,570.0,Genoa,41.0,28.0,48.80952380952381
37,Atalanta,570.0,Inter,30.0,30.0,33.33333333333333
38,Atalanta,570.0,Juventus,14.0,28.0,16.666666666666664
39,Atalanta,570.0,Lazio,40.0,30.0,44.44444444444444
40,Atalanta,570.0,Lecce,12.0,6.0,66.66666666666666
41,Atalanta,570.0,Livorno,13.0,8.0,54.166666666666664
42,Atalanta,570.0,Messina,4.0,2.0,66.66666666666666
43,Atalanta,570.0,Milan,37.0,30.0,41.11111111111111
44,Atalanta,570.0,Napoli,38.0,28.0,45.23809523809524
45,Atalanta,570.0,Novara,4.0,2.0,66.66666666666666
46,Atalanta,570.0,Palermo,26.0,18.0,48.148148148148145
47,Atalanta,570.0,Parma,39.0,20.0,65.0
48,Atalanta,570.0,Pescara,10.0,4.0,83.33333333333334
49,Atalanta,570.0,Reggina,4.0,6.0,22.22222222222222
50,Atalanta,570.0,Roma,34.0,30.0,37.77777777777778
51,Atalanta,570.0,Salernitana,4.0,2.0,66.66666666666666
52,Atalanta,570.0,Sampdoria,39.0,28.0,46.42857142857143
53,Atalanta,570.0,Sassuolo,35.0,18.0,64.81481481481481
54,Atalanta,570.0,Siena,22.0,12.0,61.111111111111114
55,Atalanta,570.0,Spal,8.0,6.0,44.44444444444444
56,Atalanta,570.0,Spezia,10.0,4.0,83.33333333333334
57,Atalanta,570.0,Torino,31.0,26.0,39.743589743589745
58,Atalanta,570.0,Udinese,44.0,30.0,48.888888888888886
59,Atalanta,570.0,Venezia,6.0,2.0,100.0
60,Atalanta,570.0,Verona,18.0,14.0,42.857142857142854
61,Bari,76.0,Atalanta,3.0,2.0,50.0
62,Bari,76.0,Bologna,4.0,4.0,33.33333333333333
63,Bari,76.0,Brescia,3.0,2.0,50.0
64,Bari,76.0,Cagliari,1.0,4.0,8.333333333333332
65,Bari,76.0,Catania,2.0,4.0,16.666666666666664
66,Bari,76.0,Cesena,1.0,2.0,16.666666666666664
67,Bari,76.0,Chievo,7.0,4.0,58.333333333333336
68,Bari,76.0,Fiorentina,4.0,4.0,33.33333333333333
69,Bari,76.0,Genoa,5.0,4.0,41.66666666666667
70,Bari,76.0,Inter,2.0,4.0,16.666666666666664
71,Bari,76.0,Juventus,6.0,4.0,50.0
72,Bari,76.0,Lazio,6.0,4.0,50.0
73,Bari,76.0,Lecce,3.0,2.0,50.0
74,Bari,76.0,Livorno,4.0,2.0,66.66666666666666
75,Bari,76.0,Milan,2.0,4.0,16.666666666666664
