HomeTeam,AwayTeam,HomeGoals,AwayGoals
Torino,Chievo,1.0,0.0
Cagliari,Torino,0.0,0.0
Messina,Empoli,2.0,2.0
Atalanta,Sampdoria,3.0,2.0
Catania,Lazio,3.0,1.0
Fiorentina,Reggina,3.0,0.0
Livorno,Siena,0.0,0.0
Milan,Palermo,0.0,2.0
Parma,Ascoli,1.0,0.0
Roma,Chievo,1.0,1.0
Udinese,Inter,0.0,0.0
Atalanta,Cagliari,3.0,3.0
Chievo,Milan,0.0,1.0
Empoli,Udinese,1.0,1.0
Inter,Livorno,4.0,1.0
Palermo,Messina,2.0,1.0
Reggina,Parma,3.0,2.0
Roma,Ascoli,2.0,2.0
Sampdoria,Lazio,2.0,0.0
Siena,Catania,1.0,1.0
Torino,Fiorentina,0.0,1.0
Milan,Inter,3.0,4.0
Udinese,Roma,0.0,1.0
Ascoli,Siena,0.0,1.0
Cagliari,Sampdoria,1.0,0.0
Catania,Torino,1.0,1.0
Fiorentina,Palermo,2.0,3.0
Lazio,Reggina,0.0,0.0
Livorno,Empoli,0.0,0.0
Messina,Chievo,2.0,1.0
Parma,Atalanta,3.0,1.0
Reggina,Catania,0.0,1.0
Siena,Parma,2.0,2.0
Atalanta,Milan,2.0,0.0
Chievo,Cagliari,0.0,0.0
Empoli,Lazio,1.0,1.0
Inter,Ascoli,2.0,0.0
Livorno,Udinese,1.0,0.0
Palermo,Sampdoria,2.0,0.0
Roma,Fiorentina,3.0,1.0
Torino,Messina,1.0,1.0
Fiorentina,Atalanta,3.0,1.0
Milan,Roma,1.0,2.0
Ascoli,Empoli,0.0,1.0
Catania,Livorno,3.0,2.0
Lazio,Udinese,5.0,0.0
Messina,Cagliari,2.0,2.0
Palermo,Torino,3.0,0.0
Parma,Inter,1.0,2.0
Sampdoria,Chievo,3.0,0.0
Siena,Reggina,0.0,1.0
Cagliari,Palermo,1.0,0.0
Empoli,Milan,0.0,0.0
Ascoli,Fiorentina,1.0,1.0
Chievo,Atalanta,2.0,2.0
Inter,Reggina,1.0,0.0
Livorno,Parma,3.0,0.0
Messina,Lazio,1.0,4.0
Roma,Catania,7.0,0.0
Torino,Sampdoria,1.0,0.0
Udinese,Siena,3.0,0.0
Chievo,Udinese,2.0,0.0
Milan,Messina,1.0,0.0
Atalanta,Torino,1.0,2.0
Catania,Parma,2.0,0.0
Empoli,Cagliari,1.0,0.0
Lazio,Ascoli,3.0,1.0
Palermo,Inter,1.0,2.0
Reggina,Livorno,2.0,2.0
Sampdoria,Roma,2.0,4.0
Siena,Fiorentina,1.0,1.0
Inter,Siena,2.0,0.0
Roma,Atalanta,2.0,1.0
Ascoli,Catania,2.0,2.0
Cagliari,Milan,2.0,2.0
Fiorentina,Lazio,1.0,0.0
Livorno,Chievo,0.0,2.0
Messina,Sampdoria,0.0,2.0
Parma,Palermo,0.0,0.0
Torino,Empoli,1.0,0.0
Udinese,Reggina,1.0,1.0
Palermo,Livorno,3.0,0.0
Reggina,Ascoli,2.0,1.0
Atalanta,Messina,3.0,2.0
Cagliari,Parma,0.0,0.0
Catania,Udinese,1.0,0.0
Chievo,Fiorentina,0.0,1.0
Empoli,Inter,0.0,3.0
Lazio,Roma,3.0,0.0
Milan,Torino,0.0,0.0
Sampdoria,Siena,0.0,0.0
Fiorentina,Milan,2.0,2.0
Udinese,Cagliari,3.0,1.0
Ascoli,Torino,0.0,2.0
Inter,Messina,2.0,0.0
Livorno,Lazio,1.0,1.0
Parma,Chievo,2.0,2.0
Reggina,Sampdoria,0.0,1.0
Roma,Palermo,4.0,0.0
Siena,Atalanta,1.0,1.0
Atalanta,Udinese,1.0,2.0
Cagliari,Fiorentina,0.0,2.0
Chievo,Reggina,3.0,2.0
Empoli,Siena,1.0,0.0
Lazio,Inter,0.0,2.0
Messina,Parma,1.0,1.0
Milan,Catania,3.0,0.0
Palermo,Ascoli,4.0,0.0
Sampdoria,Livorno,4.0,1.0
Torino,Roma,1.0,2.0
Ascoli,Chievo,3.0,0.0
Catania,Sampdoria,4.0,2.0
Fiorentina,Messina,4.0,0.0
Inter,Atalanta,2.0,1.0
Livorno,Torino,1.0,1.0
Parma,Lazio,1.0,3.0
Reggina,Empoli,4.0,1.0
Roma,Cagliari,2.0,0.0
Siena,Palermo,1.0,1.0
Udinese,Milan,0.0,3.0
Empoli,Parma,2.0,0.0
Torino,Inter,1.0,3.0
Atalanta,Livorno,5.0,1.0
Cagliari,Ascoli,1.0,0.0
Chievo,Catania,2.0,1.0
Lazio,Siena,1.0,1.0
Messina,Roma,1.0,1.0
Milan,Reggina,3.0,1.0
Palermo,Udinese,2.0,0.0
Sampdoria,Fiorentina,0.0,0.0
Ascoli,Atalanta,1.0,3.0
Reggina,Palermo,0.0,0.0
Catania,Cagliari,0.0,1.0
Empoli,Sampdoria,2.0,0.0
Inter,Fiorentina,3.0,1.0
Lazio,Milan,0.0,0.0
Livorno,Roma,1.0,1.0
Parma,Torino,1.0,0.0
Siena,Chievo,2.0,1.0
Udinese,Messina,1.0,0.0
Catania,Empoli,2.0,1.0
Palermo,Lazio,0.0,3.0
Torino,Udinese,2.0,3.0
Atalanta,Catania,1.0,1.0
Cagliari,Reggina,0.0,2.0
Chievo,Empoli,0.0,0.0
Fiorentina,Livorno,2.0,1.0
Messina,Ascoli,1.0,2.0
Milan,Parma,1.0,0.0
Roma,Siena,1.0,0.0
Sampdoria,Inter,0.0,2.0
Catania,Palermo,1.0,2.0
Atalanta,Lazio,0.0,0.0
Cagliari,Siena,2.0,2.0
Chievo,Inter,0.0,2.0
Fiorentina,Udinese,2.0,0.0
Messina,Catania,1.0,1.0
Milan,Livorno,2.0,1.0
Palermo,Empoli,0.0,1.0
Roma,Parma,3.0,0.0
Sampdoria,Ascoli,2.0,0.0
Torino,Reggina,1.0,2.0
Empoli,Roma,1.0,0.0
Inter,Cagliari,1.0,0.0
Siena,Milan,3.0,4.0
Ascoli,Udinese,2.0,2.0
Catania,Fiorentina,0.0,1.0
Lazio,Torino,2.0,0.0
Livorno,Messina,2.0,1.0
Palermo,Chievo,1.0,1.0
Parma,Sampdoria,0.0,1.0
Reggina,Atalanta,1.0,1.0
Atalanta,Palermo,1.0,1.0
Chievo,Torino,3.0,0.0
Cagliari,Lazio,0.0,2.0
Catania,Inter,2.0,5.0
Fiorentina,Empoli,2.0,0.0
Livorno,Ascoli,0.0,0.0
Messina,Siena,1.0,0.0
Milan,Sampdoria,1.0,0.0
Roma,Reggina,3.0,0.0
Udinese,Parma,3.0,3.0
Ascoli,Parma,0.0,0.0
Chievo,Roma,2.0,2.0
Empoli,Messina,3.0,1.0
Inter,Udinese,1.0,1.0
Lazio,Catania,3.0,1.0
Palermo,Milan,0.0,0.0
Reggina,Fiorentina,1.0,1.0
Sampdoria,Atalanta,2.0,1.0
Siena,Livorno,0.0,0.0
Torino,Cagliari,1.0,0.0
Ascoli,Roma,1.0,1.0
Livorno,Inter,1.0,2.0
Milan,Chievo,3.0,1.0
Cagliari,Atalanta,2.0,0.0
Catania,Siena,1.0,1.0
Fiorentina,Torino,5.0,1.0
Lazio,Sampdoria,1.0,0.0
Messina,Palermo,2.0,0.0
Parma,Reggina,2.0,2.0
Udinese,Empoli,0.0,1.0
Sampdoria,Cagliari,1.0,1.0
Atalanta,Parma,1.0,1.0
Chievo,Messina,1.0,1.0
Empoli,Livorno,2.0,2.0
Inter,Milan,2.0,1.0
Palermo,Fiorentina,1.0,1.0
Reggina,Lazio,2.0,3.0
Roma,Udinese,3.0,1.0
Siena,Ascoli,0.0,1.0
Torino,Catania,1.0,0.0
Sampdoria,Palermo,1.0,1.0
Ascoli,Inter,1.0,2.0
Cagliari,Chievo,0.0,2.0
Catania,Reggina,1.0,4.0
Fiorentina,Roma,0.0,0.0
Lazio,Empoli,3.0,1.0
Messina,Torino,0.0,3.0
Milan,Atalanta,1.0,0.0
Parma,Siena,1.0,0.0
Udinese,Livorno,4.0,0.0
Reggina,Siena,0.0,1.0
Roma,Milan,1.0,1.0
Atalanta,Fiorentina,2.0,2.0
Cagliari,Messina,2.0,0.0
Chievo,Sampdoria,1.0,1.0
Empoli,Ascoli,4.0,1.0
Inter,Parma,2.0,0.0
Livorno,Catania,4.0,1.0
Torino,Palermo,0.0,0.0
Udinese,Lazio,2.0,4.0
Atalanta,Chievo,1.0,0.0
Catania,Roma,0.0,2.0
Fiorentina,Ascoli,4.0,0.0
Lazio,Messina,1.0,0.0
Milan,Empoli,3.0,1.0
Palermo,Cagliari,1.0,3.0
Parma,Livorno,1.0,0.0
Reggina,Inter,0.0,0.0
Sampdoria,Torino,1.0,0.0
Siena,Udinese,2.0,2.0
Cagliari,Empoli,0.0,0.0
Udinese,Chievo,2.0,1.0
Ascoli,Lazio,2.0,2.0
Fiorentina,Siena,1.0,0.0
Inter,Palermo,2.0,2.0
Livorno,Reggina,1.0,1.0
Messina,Milan,1.0,3.0
Parma,Catania,1.0,1.0
Roma,Sampdoria,4.0,0.0
Torino,Atalanta,1.0,2.0
Ascoli,Milan,2.0,5.0
Empoli,Atalanta,2.0,0.0
Inter,Roma,1.0,3.0
Lazio,Chievo,0.0,0.0
Livorno,Cagliari,2.0,1.0
Parma,Fiorentina,2.0,0.0
Reggina,Messina,3.0,1.0
Siena,Torino,1.0,0.0
Udinese,Sampdoria,1.0,0.0
Milan,Cagliari,3.0,1.0
Sampdoria,Messina,3.0,1.0
Atalanta,Roma,2.0,1.0
Chievo,Livorno,2.0,1.0
Empoli,Torino,0.0,0.0
Lazio,Fiorentina,0.0,1.0
Palermo,Parma,3.0,4.0
Reggina,Udinese,1.0,1.0
Siena,Inter,1.0,2.0
Fiorentina,Chievo,1.0,0.0
Torino,Milan,0.0,1.0
Ascoli,Reggina,2.0,3.0
Inter,Empoli,3.0,1.0
Livorno,Palermo,1.0,2.0
Messina,Atalanta,0.0,0.0
Parma,Cagliari,2.0,1.0
Roma,Lazio,0.0,0.0
Siena,Sampdoria,0.0,2.0
Udinese,Catania,0.0,1.0
Catania,Ascoli,3.0,3.0
Atalanta,Siena,3.0,1.0
Cagliari,Udinese,2.0,1.0
Chievo,Parma,1.0,0.0
Empoli,Catania,2.0,1.0
Lazio,Livorno,1.0,0.0
Messina,Inter,0.0,1.0
Milan,Fiorentina,0.0,0.0
Palermo,Roma,1.0,2.0
Sampdoria,Reggina,0.0,0.0
Torino,Ascoli,1.0,0.0
Ascoli,Palermo,3.0,2.0
Catania,Milan,1.0,1.0
Fiorentina,Cagliari,1.0,0.0
Inter,Lazio,4.0,3.0
Livorno,Sampdoria,1.0,0.0
Parma,Messina,4.0,1.0
Reggina,Chievo,1.0,1.0
Roma,Torino,0.0,1.0
Siena,Empoli,2.0,0.0
Udinese,Atalanta,2.0,3.0
Milan,Udinese,2.0,3.0
Atalanta,Inter,1.0,1.0
Cagliari,Roma,3.0,2.0
Chievo,Ascoli,1.0,0.0
Empoli,Reggina,3.0,3.0
Lazio,Parma,0.0,0.0
Messina,Fiorentina,2.0,2.0
Palermo,Siena,2.0,1.0
Sampdoria,Catania,1.0,0.0
Torino,Livorno,0.0,0.0
Ascoli,Cagliari,2.0,1.0
Catania,Chievo,2.0,0.0
Fiorentina,Sampdoria,5.0,1.0
Inter,Torino,3.0,0.0
Livorno,Atalanta,4.0,2.0
Parma,Empoli,3.0,1.0
Reggina,Milan,2.0,0.0
Roma,Messina,4.0,3.0
Siena,Lazio,2.0,1.0
Udinese,Palermo,1.0,2.0
Juventus,Livorno,5.0,1.0
Lazio,Torino,2.0,2.0
Fiorentina,Empoli,3.0,1.0
Genoa,Milan,0.0,3.0
Inter,Udinese,1.0,1.0
Napoli,Cagliari,0.0,2.0
Palermo,Roma,0.0,2.0
Parma,Catania,2.0,2.0
Reggina,Atalanta,1.0,1.0
Siena,Sampdoria,1.0,2.0
Empoli,Inter,0.0,2.0
Atalanta,Parma,2.0,0.0
Cagliari,Juventus,2.0,3.0
Catania,Genoa,0.0,0.0
Livorno,Palermo,2.0,4.0
Roma,Siena,3.0,0.0
